,Unnamed: 0,CODUSU,ANO4_x,TRIMESTRE_x,NRO_HOGAR,COMPONENTE,H15,REGION_x,MAS_500_x,AGLOMERADO_x,PONDERA_x,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH14,CH15,CH15_COD,CH16,CH16_COD,NIVEL_ED,ESTADO,CAT_OCUP,CAT_INAC,IMPUTA,PP02C1,PP02C2,PP02C3,PP02C4,PP02C5,PP02C6,PP02C7,PP02C8,PP02E,PP02H,PP02I,PP03C,PP03D,PP3E_TOT,PP3F_TOT,PP03G,PP03H,PP03I,PP03J,INTENSI,PP04A,PP04B_COD,PP04B1,PP04B2,PP04B3_MES,PP04B3_ANO,PP04B3_DIA,PP04C,PP04C99,PP04D_COD,PP04G,PP05B2_MES,PP05B2_ANO,PP05B2_DIA,PP05C_1,PP05C_2,PP05C_3,PP05E,PP05F,PP05H,PP06A,PP06C,PP06D,PP06E,PP06H,PP07A,PP07C,PP07D,PP07E,PP07F1,PP07F2,PP07F3,PP07F4,PP07F5,PP07G1,PP07G2,PP07G3,PP07G4,PP07G_59,PP07H,PP07I,PP07J,PP07K,PP08D1,PP08D4,PP08F1,PP08F2,PP08J1,PP08J2,PP08J3,PP09A,PP09A_ESP,PP09B,PP09C,PP09C_ESP,PP10A,PP10C,PP10D,PP10E,PP11A,PP11B_COD,PP11B1,PP11B2_MES,PP11B2_ANO,PP11B2_DIA,PP11C,PP11C99,PP11D_COD,PP11G_ANO,PP11G_MES,PP11G_DIA,PP11L,PP11L1,PP11M,PP11N,PP11O,PP11P,PP11Q,PP11R,PP11S,PP11T,P21,DECOCUR,IDECOCUR,RDECOCUR,GDECOCUR,PDECOCUR,ADECOCUR,PONDIIO,TOT_P12,P47T,DECINDR,IDECINDR,RDECINDR,GDECINDR,PDECINDR,ADECINDR,PONDII,V2_M,V3_M,V4_M,V5_M,V8_M,V9_M,V10_M,V11_M,V12_M,V18_M,V19_AM,V21_M,T_VI,ITF_x,DECIFR_x,IDECIFR_x,RDECIFR_x,GDECIFR_x,PDECIFR_x,ADECIFR_x,IPCF_x,DECCFR_x,IDECCFR_x,RDECCFR_x,GDECCFR_x,PDECCFR_x,ADECCFR_x,PONDIH_x,ANO4_y,TRIMESTRE_y,REALIZADA,REGION_y,MAS_500_y,AGLOMERADO_y,PONDERA_y,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF_y,DECIFR_y,IDECIFR_y,RDECIFR_y,GDECIFR_y,PDECIFR_y,ADECIFR_y,IPCF_y,DECCFR_y,IDECCFR_y,RDECCFR_y,GDECCFR_y,PDECCFR_y,ADECCFR_y,PONDIH_y,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4
0,0,TQRMNORVWHLMKOCDEOHCH00720228,2023,1,1,5,0,44,N,91,112,5,1,2015-10-29 00:00:00,7,5,1.0,1,1,1,2,2,2.0,2,,1,,1,4,0,3,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,112,0,0.0,0,0.0,0,,0.0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2023,1,1,44,N,91,112,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,6,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2,0,96,0,0,0
1,1,TQRMNORVWHLMKOCDEOHCH00720228,2023,1,1,1,1,44,N,91,112,1,1,1972-12-27 00:00:00,50,2,1.0,1,2,0,7,1,,3,86.0,1,,6,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,1.0,4000.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,10332.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,180000.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,9,9.0,7,,9.0,9,107,0,255000.0,10,10.0,9,,10.0,10,116,0,0,0,0,0,0,0,0,0,0,0,0,0,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2023,1,1,44,N,91,112,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,6,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2,0,96,0,0,0
2,2,TQRMNORVWHLMKOCDEOHCH00720228,2023,1,1,2,1,44,N,91,112,2,2,1974-09-04 00:00:00,48,2,1.0,1,2,0,6,1,,3,6.0,1,,6,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,1.0,8501.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,41312.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100000.0,0.0,0.0,0.0,43500.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,6,6.0,4,,6.0,5,113,0,143500.0,8,8.0,6,,8.0,7,119,0,0,0,0,0,0,0,0,0,0,0,0,0,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2023,1,1,44,N,91,112,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,6,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2,0,96,0,0,0
3,3,TQRMNORVWHLMKOCDEOHCH00720228,2023,1,1,3,1,44,N,91,112,5,1,2002-07-18 00:00:00,20,5,1.0,1,1,1,4,2,6.0,3,6.0,1,,3,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,112,0,0.0,0,0.0,0,,0.0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2023,1,1,44,N,91,112,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,6,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2,0,96,0,0,0
4,4,TQRMNORVWHLMKOCDEOHCH00720228,2023,1,1,4,1,44,N,91,112,5,2,2013-01-04 00:00:00,10,5,1.0,1,1,1,2,2,4.0,1,,1,,1,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,112,0,0.0,0,0.0,0,,0.0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2023,1,1,44,N,91,112,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,6,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,398500,9,9.0,9,,10.0,9,79700.0,6,6.0,5,,7.0,5,133,2,0,96,0,0,0
5,5,TQRMNOPSTHKMKPCDEOHCH00781447,2023,1,1,1,1,44,N,91,190,1,2,1939-05-29 00:00:00,83,4,1.0,1,2,0,4,1,,2,,1,,4,3,0,1,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,190,0,180000.0,8,9.0,7,,9.0,8,192,120000,0,0,0,0,0,0,0,0,0,0,60000,180000,180000,6,6.0,4,,6.0,5,180000.0,9,10.0,9,,10.0,9,200,2023,1,1,44,N,91,190,1,,5,1,,2,1,1,1,,1,1,1,1,2,2,2,5,3,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,180000,6,6.0,4,,6.0,5,180000.0,9,10.0,9,,10.0,9,200,1,0,98,0,0,0
6,6,TQRMNOQSXHMOKRCDEOHCH00803177,2023,1,1,1,1,44,N,91,134,1,2,1992-12-20 00:00:00,30,1,1.0,1,2,0,4,1,,1,,1,,4,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,1.0,8401.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,20332.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,130000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,7,8.0,5,,8.0,7,124,0,130000.0,7,8.0,6,,8.0,6,135,0,0,0,0,0,0,0,0,0,0,0,0,0,290000,8,8.0,7,,8.0,8,145000.0,9,9.0,8,,9.0,8,140,2023,1,1,44,N,91,134,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,0,2,290000,8,8.0,7,,8.0,8,145000.0,9,9.0,8,,9.0,8,140,1,2,98,0,0,0
7,7,TQRMNOQSXHMOKRCDEOHCH00803177,2023,1,1,2,1,44,N,91,134,2,1,1990-08-20 00:00:00,32,1,1.0,1,2,0,4,1,,1,,1,,4,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,4808.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,30313.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,8,9.0,7,,9.0,8,129,0,160000.0,8,8.0,6,,8.0,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,290000,8,8.0,7,,8.0,8,145000.0,9,9.0,8,,9.0,8,140,2023,1,1,44,N,91,134,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,0,2,290000,8,8.0,7,,8.0,8,145000.0,9,9.0,8,,9.0,8,140,1,2,98,0,0,0
8,8,TQRMNOQYTHMNKSCDEOHCH00803178,2023,1,1,1,1,44,N,91,120,1,1,1977-07-02 00:00:00,45,2,1.0,1,2,0,4,2,1.0,1,,1,,3,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,40.0,25.0,2.0,0.0,2.0,2.0,3.0,1.0,8401.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,72323.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,3.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,3,3.0,2,,3.0,2,128,-9,-9.0,12,12.0,12,,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2023,1,1,44,N,91,120,1,,2,2,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,5,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2,0,3,4,0,0
9,9,TQRMNOQYTHMNKSCDEOHCH00803178,2023,1,1,2,1,44,N,91,120,2,2,1985-08-29 00:00:00,37,2,4.0,1,2,0,4,2,1.0,1,,1,,3,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,12.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,9700.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,55314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,1,1.0,1,,1.0,1,127,0,15000.0,1,1.0,1,,1.0,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2023,1,1,44,N,91,120,1,,2,2,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,5,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2,0,3,4,0,0
10,10,TQRMNOQYTHMNKSCDEOHCH00803178,2023,1,1,3,1,44,N,91,120,3,2,2004-09-29 00:00:00,18,5,4.0,1,1,1,4,2,4.0,1,,1,,3,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,120,0,0.0,0,0.0,0,,0.0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2023,1,1,44,N,91,120,1,,2,2,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,5,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2,0,3,4,0,0
11,11,TQRMNOQYTHMNKSCDEOHCH00803178,2023,1,1,4,1,44,N,91,120,3,2,2008-10-02 00:00:00,14,5,4.0,1,1,1,4,2,0.0,1,,1,,3,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,120,0,0.0,0,0.0,0,,0.0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2023,1,1,44,N,91,120,1,,2,2,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,5,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2,0,3,4,0,0
12,12,TQRMNOQYTHMNKSCDEOHCH00803178,2023,1,1,5,1,44,N,91,120,3,2,2012-10-19 00:00:00,10,5,4.0,1,1,1,2,2,4.0,1,,1,,1,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,120,0,0.0,0,0.0,0,,0.0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2023,1,1,44,N,91,120,1,,2,2,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,5,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2,0,3,4,0,0
13,13,TQRMNOQYTHMNKSCDEOHCH00803178,2023,1,1,6,0,44,N,91,120,3,1,2014-07-02 00:00:00,8,5,4.0,1,1,1,2,2,2.0,1,,1,,1,4,0,3,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,120,0,0.0,0,0.0,0,,0.0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2023,1,1,44,N,91,120,1,,2,2,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,5,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2,0,3,4,0,0
14,14,TQRMNOPYXHLMKNCDEIOAH00720098,2023,1,1,1,1,43,N,38,83,1,1,1900-01-01 00:00:00,35,2,1.0,1,2,0,4,1,,1,,1,,4,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,66.0,0.0,2.0,0.0,2.0,2.0,3.0,2.0,2400.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,90313.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,10,10.0,10,,10.0,10,95,0,250000.0,10,10.0,10,,10.0,10,98,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,7,8.0,7,,8.0,7,83333.33,6,7.0,6,,7.0,7,86,2023,1,1,43,N,38,83,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,250000,7,8.0,7,,8.0,7,83333.33,6,7.0,6,,7.0,7,86,1,2,98,0,0,0
15,15,TQRMNOPYXHLMKNCDEIOAH00720098,2023,1,1,2,1,43,N,38,83,2,2,1900-01-01 00:00:00,29,2,1.0,1,2,0,4,1,,3,6.0,1,,4,3,0,4,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,83,0,0.0,0,0.0,0,,0.0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,7,8.0,7,,8.0,7,83333.33,6,7.0,6,,7.0,7,86,2023,1,1,43,N,38,83,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,250000,7,8.0,7,,8.0,7,83333.33,6,7.0,6,,7.0,7,86,1,2,98,0,0,0
16,16,TQRMNOPYXHLMKNCDEIOAH00720098,2023,1,1,3,0,43,N,38,83,3,2,1900-01-01 00:00:00,8,5,1.0,1,1,1,2,2,2.0,1,,1,,1,4,0,3,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,,0.0,0,83,0,0.0,0,0.0,0,,0.0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,7,8.0,7,,8.0,7,83333.33,6,7.0,6,,7.0,7,86,2023,1,1,43,N,38,83,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,250000,7,8.0,7,,8.0,7,83333.33,6,7.0,6,,7.0,7,86,1,2,98,0,0,0
17,17,TQRMNOQTTHMNKPCDEIOAH00803054,2023,1,1,1,1,43,N,38,142,1,1,1994-12-24 00:00:00,28,5,1.0,1,2,0,7,2,5.0,1,,1,,5,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,8000.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,47313.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,8,9.0,8,,9.0,7,191,0,150000.0,8,8.0,8,,8.0,7,178,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,5,5.0,5,,5.0,5,150000.0,9,9.0,9,,9.0,9,184,2023,1,1,43,N,38,142,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,150000,5,5.0,5,,5.0,5,150000.0,9,9.0,9,,9.0,9,184,1,0,98,0,0,0
